#Name,Brand,color,Link,wish,review
New Balance 574 Legacy Grey,New Balance,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/65218 ,4732,25
Nike Air Force 1 '07 LV8 Pojangmacha,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/76884 ,5604,149
New Balance 530 Ivory,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/24008 ,11000,72
Nike x Sacai x Fragment LDWaffle Blackened Blue,Nike,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/39448 ,11000,900
Maison Mihara Yasuhiro Peterson OG Sole Canvas Low Sneakers White,Mihara Yasuhiro,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/25708 ,2291,73
Asics Gel-Venture 6 SPS Birch French Blue,Asics,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/72020 ,8143,28
(W) Jordan 1 Elevate Low SE Midnight Navy,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/67724 ,6723,27
Nike x Sacai x Undercover LDWaffle Black Bright Citron,Nike,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/43677 ,13000,803
(W) Nike Dunk Low Essential Pink Foam Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/74069 ,13000,69
(W) Jordan 1 Low White Dark Marina Blue,Jordan,"{'name': 'Chathams Blue', 'RGB': (23, 85, 121)}",https://kream.co.kr/products/55067 ,32000,470
New Balance 327 White Black,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/26349 ,24000,714
(W) New Balance 327 White Moonbeam,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/24677 ,17000,405
New Balance 574 Heritage Navy,New Balance,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/74715 ,4970,39
(W) Nike TC 7900 Summit White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/30673 ,17000,125
New Balance 574 Legacy Navy Sea Salt,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/75331 ,4103,13
Adidas Yeezy Slide Onyx,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/53429 ,8145,423
New Balance 2002R Rust Oxide,New Balance,"{'name': 'Rope', 'RGB': (142, 77, 30)}",https://kream.co.kr/products/76943 ,4815,55
Adidas Yeezy Foam RNNR Onyx,Adidas,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/64439 ,6793,371
New Balance 574 Legacy Black Angora,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/77702 ,510,6
(W) Nike Dunk Low Rose Whisper,Nike,"{'name': 'Oriental Pink', 'RGB': (198, 145, 145)}",https://kream.co.kr/products/54986 ,26000,165
