Name,Brand,Colors,Link,wish,review
New Balance 2002R Eclipse Castlerock,New Balance,"[(31, 31, 41, 57), (207, 201, 185, 29)]",https://kream.co.kr/products/76941 ,4874,61
New Balance 574 Legacy Grey,New Balance,"[(146, 148, 149, 43), (216, 218, 216, 24), (47, 51, 58, 14), (85, 89, 96, 10)]",https://kream.co.kr/products/65218 ,4732,25
Nike Air Force 1 '07 LV8 Pojangmacha,Nike,"[(215, 209, 184, 42), (202, 69, 45, 34), (222, 223, 227, 15)]",https://kream.co.kr/products/76884 ,5604,149
New Balance 530 Ivory,New Balance,"[(214, 206, 194, 86)]",https://kream.co.kr/products/24008 ,11000,72
Nike x Sacai x Fragment LDWaffle Blackened Blue,Nike,"[(45, 58, 75, 62), (222, 223, 224, 33)]",https://kream.co.kr/products/39448 ,11000,900
Maison Mihara Yasuhiro Peterson OG Sole Canvas Low Sneakers White,Mihara Yasuhiro,"[(220, 220, 219, 85), (47, 48, 37, 11)]",https://kream.co.kr/products/25708 ,2291,73
Asics Gel-Venture 6 SPS Birch French Blue,Asics,"[(201, 190, 177, 68), (41, 52, 61, 17)]",https://kream.co.kr/products/72020 ,8143,28
(W) Jordan 1 Elevate Low SE Midnight Navy,Jordan,"[(205, 204, 194, 55), (56, 58, 74, 39)]",https://kream.co.kr/products/67724 ,6723,27
Nike x Sacai x Undercover LDWaffle Black Bright Citron,Nike,"[(185, 180, 161, 47), (44, 41, 38, 23), (174, 147, 15, 13)]",https://kream.co.kr/products/43677 ,13000,803
(W) Nike Dunk Low Essential Pink Foam Black,Nike,"[(20, 19, 20, 50), (206, 190, 195, 39)]",https://kream.co.kr/products/74069 ,13000,69
(W) Jordan 1 Low White Dark Marina Blue,Jordan,"[(51, 80, 114, 45), (201, 202, 204, 40)]",https://kream.co.kr/products/55067 ,32000,470
New Balance 327 White Black,New Balance,"[(201, 201, 201, 68), (33, 33, 34, 25)]",https://kream.co.kr/products/26349 ,24000,714
(W) New Balance 327 White Moonbeam,New Balance,"[(223, 218, 207, 85), (185, 183, 182, 8)]",https://kream.co.kr/products/24677 ,17000,405
New Balance 574 Heritage Navy,New Balance,"[(56, 63, 76, 57), (199, 192, 186, 33)]",https://kream.co.kr/products/74715 ,4970,39
(W) Nike TC 7900 Summit White,Nike,"[(217, 218, 207, 97)]",https://kream.co.kr/products/30673 ,17000,125
New Balance 574 Legacy Navy Sea Salt,New Balance,"[(24, 26, 46, 40), (190, 183, 171, 38)]",https://kream.co.kr/products/75331 ,4103,13
Adidas Yeezy Slide Onyx,Adidas,"[(44, 49, 49, 84)]",https://kream.co.kr/products/53429 ,8145,423
New Balance 2002R Rust Oxide,New Balance,"[(169, 65, 31, 54), (199, 184, 170, 22), (102, 46, 35, 9)]",https://kream.co.kr/products/76943 ,4815,55
Adidas Yeezy Foam RNNR Onyx,Adidas,"[(54, 54, 56, 83)]",https://kream.co.kr/products/64439 ,6793,371
New Balance 574 Legacy Black Angora,New Balance,"[(18, 14, 16, 48), (181, 175, 164, 35), (149, 141, 125, 10)]",https://kream.co.kr/products/77702 ,510,6
(W) Nike Dunk Low Rose Whisper,Nike,"[(182, 135, 128, 51), (218, 216, 218, 33)]",https://kream.co.kr/products/54986 ,26000,165
Adidas Velosamba Core Black,Adidas,"[(44, 42, 43, 45), (176, 135, 90, 26), (215, 213, 211, 14)]",https://kream.co.kr/products/73766 ,3631,23
Nike Air Force 1 '07 LV8 White Black,Nike,"[(206, 201, 204, 42), (37, 37, 37, 42)]",https://kream.co.kr/products/76017 ,7766,30
Adidas Samba OG Collegiate Green,Adidas,"[(66, 92, 84, 61), (134, 105, 80, 23), (210, 210, 206, 13)]",https://kream.co.kr/products/75971 ,6118,20
Autry Medalist Low Goatskin Sneakers White,Autry,"[(223, 222, 214, 92)]",https://kream.co.kr/products/48783 ,1595,65
Adidas Yeezy Slide Bone 2022,Adidas,"[(218, 210, 198, 81), (228, 218, 204, 10)]",https://kream.co.kr/products/70714 ,7245,234
(W) Jordan 1 Mid Grey Fog,Jordan,"[(215, 216, 212, 78), (39, 40, 39, 14)]",https://kream.co.kr/products/41534 ,48000,1025
Nike x Peaceminusone Air Force 1 Low Para-Noise,Nike,"[(39, 39, 39, 48), (206, 206, 207, 38)]",https://kream.co.kr/products/22857 ,12000,5007
Adidas Yeezy Boost 350 V2 Dazzling Blue,Adidas,"[(34, 34, 35, 68), (59, 75, 154, 11), (55, 55, 61, 9)]",https://kream.co.kr/products/52008 ,5862,223
(W) Nike Dunk Low Vintage Midnight Navy,Nike,"[(42, 43, 57, 51), (216, 211, 201, 42)]",https://kream.co.kr/products/47184 ,29000,346
Jordan 1 x Travis Scott Retro High OG SP Mocha,Jordan,"[(71, 64, 62, 55), (230, 226, 217, 37)]",https://kream.co.kr/products/20501 ,12000,4355
Nike x Martine Rose Shox MR4 Black,Nike,"[(32, 31, 32, 71), (114, 78, 82, 11), (74, 65, 67, 9)]",https://kream.co.kr/products/69092 ,3352,89
Nike Air Force 1 '07 Cut Out Swoosh Midnight Navy,Nike,"[(215, 220, 227, 47), (30, 40, 60, 44)]",https://kream.co.kr/products/57895 ,28000,65
Maison Mihara Yasuhiro Blakey OG Sole Canvas Low-top Sneakers Black White,Mihara Yasuhiro,"[(235, 240, 240, 44), (24, 25, 26, 43)]",https://kream.co.kr/products/46178 ,4871,223
Salomon XT-6 Gore-Tex Black Ebony,Salomon,"[(48, 49, 50, 65), (180, 181, 180, 11), (120, 121, 124, 11), (89, 90, 92, 8)]",https://kream.co.kr/products/82104 ,217,1
